City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Oranjestad,AW,2020-08-16 23:07:30,12.52,-70.03,86.0,74,20,14.99
173,Mirabad,AF,2020-08-16 23:07:30,30.44,61.84,79.57,35,16,17.81
174,Mareeba,AU,2020-08-16 23:07:31,-17.0,145.43,71.01,64,64,1.12
175,Ondjiva,AO,2020-08-16 23:07:31,-17.07,15.73,63.05,27,0,4.23
176,Balkhash,KZ,2020-08-16 23:07:31,46.84,74.98,75.18,35,67,13.29
177,Balad,IQ,2020-08-16 23:07:32,34.02,44.15,85.12,14,0,11.48
178,Vredendal,ZA,2020-08-16 23:07:32,-31.67,18.5,48.06,73,79,4.36
179,Hami,CN,2020-08-16 23:07:32,42.8,93.45,71.26,23,0,3.2
180,Saint-Pierre,RE,2020-08-16 23:07:32,-21.34,55.48,66.2,63,48,6.93
181,Shatalovo,RU,2020-08-16 23:07:33,54.33,32.45,58.96,90,0,6.58
182,Leningradskiy,RU,2020-08-16 23:07:33,69.38,178.42,45.64,90,100,4.23
183,Kahului,US,2020-08-16 23:07:33,20.89,-156.47,87.8,55,20,20.8
184,Paratinga,BR,2020-08-16 23:04:21,-12.69,-43.18,79.65,31,34,4.47
185,Malakal,SS,2020-08-16 23:07:34,9.53,31.66,72.59,94,98,3.11
186,Azare,NG,2020-08-16 23:07:34,11.68,10.19,76.66,80,99,9.4
187,Kyabe,TD,2020-08-16 23:07:34,9.45,18.94,71.33,97,98,3.87
188,Mitsamiouli,KM,2020-08-16 23:07:34,-11.38,43.28,75.51,79,63,7.02
189,Slave Lake,CA,2020-08-16 23:07:35,55.28,-114.77,80.6,47,1,8.05
190,Imeni Poliny Osipenko,RU,2020-08-16 23:07:35,52.42,136.49,55.45,92,98,11.36
191,Leshukonskoye,RU,2020-08-16 23:07:35,64.9,45.76,41.85,97,1,4.5
192,Provideniya,RU,2020-08-16 23:07:36,64.38,-173.3,60.8,63,100,8.95
193,Huarmey,PE,2020-08-16 23:07:36,-10.07,-78.15,63.14,76,66,10.0
194,Nordby,DK,2020-08-16 23:07:36,55.45,8.4,66.2,77,0,5.82
195,Huadian,CN,2020-08-16 23:07:37,42.96,126.75,69.58,84,85,3.67
196,Maniitsoq,GL,2020-08-16 23:07:37,65.42,-52.9,47.75,66,2,10.98
